version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V3,3022064,2026-09-14,俄甲,辛历克 vs 乌拉尔,辛历克,lower,平手/半球,0.98,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,2997522,2026-09-14,克亚甲,HNK哥里卡 vs 瓦拉日丁,瓦拉日丁,upper,平手/半球,0.82,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,3021987,2026-09-14,俄甲,韦莱斯 vs 索契,韦莱斯,lower,平手/半球,1.02,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,2993786,2026-09-14,意甲,科莫 vs 帕尔马,科莫,upper,球半/两球,0.84,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,2993793,2026-09-14,意甲,都灵 vs 罗马,罗马,upper,一球,0.86,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,2914701,2026-09-14,瑞典甲,奥斯特桑斯 vs 赫尔辛堡,奥斯特桑斯,upper,半球,0.84,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V3,2997723,2026-09-14,法乙,红星 vs 梅斯,红星,upper,平手,0.82,,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,,,V3_LEGACY_PRODUCTION,,,,,False,False
V4_SHADOW,3017156,2026-09-14,保乙,赫巴 vs 伊塔尔,赫巴,giving,-0.5,1.02,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,ad47904efcf44a522e7d,,v4-market-dirichlet-20260913,,,2026-09-14T22:45:00+08:00,,False,False
V4_SHADOW,2997522,2026-09-14,克亚甲,HNK哥里卡 vs 瓦拉日丁,HNK哥里卡,receiving,0.25,1.0,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,e12192fa8d3db0070449,,v4-market-dirichlet-20260913,,,2026-09-15T00:00:00+08:00,,False,False
V4_SHADOW,3034779,2026-09-14,德女联,勒沃库森女足 vs 拜仁慕尼黑女足,拜仁慕尼黑女足,giving,-1.5,0.69,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,3823db9f88f0439530b0,,v4-market-dirichlet-20260913,,,2026-09-15T00:00:00+08:00,,False,False
V4_SHADOW,2968061,2026-09-14,挪丙,艾科拉 vs 奥特格宁兰B队,艾科拉,receiving,1.0,1.08,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,3761319e9eb0b92f589d,,v4-market-dirichlet-20260913,,,2026-09-15T00:00:00+08:00,,False,False
